datetime,inflow_cfs,outflow_cfs
2015-10-01,191.0,244.0
2015-10-02,2.0,257.0
2015-10-03,324.0,254.0
2015-10-04,0.0,228.0
2015-10-05,242.0,236.0
2015-10-06,0.0,260.0
2015-10-07,26.0,252.0
2015-10-08,19.0,245.0
2015-10-09,2.0,228.0
2015-10-10,40.0,247.0
2015-10-11,0.0,277.0
2015-10-12,128.0,276.0
2015-10-13,0.0,244.0
2015-10-14,91.0,235.0
2015-10-15,23.0,71.0
2015-10-16,51.0,45.0
2015-10-17,0.0,45.0
2015-10-18,314.0,45.0
2015-10-19,0.0,45.0
2015-10-20,15.0,45.0
2015-10-21,68.0,53.0
2015-10-22,0.0,65.0
2015-10-23,43.0,65.0
2015-10-24,0.0,65.0
2015-10-25,0.0,71.0
2015-10-26,68.0,85.0
2015-10-27,59.0,90.0
2015-10-28,0.0,90.0
2015-10-29,40.0,90.0
2015-10-30,0.0,90.0
2015-10-31,0.0,90.0
2015-11-01,438.0,90.0
2015-11-02,394.0,90.0
2015-11-03,0.0,90.0
2015-11-04,117.0,90.0
2015-11-05,0.0,97.0
2015-11-06,0.0,100.0
2015-11-07,0.0,100.0
2015-11-08,123.0,82.0
2015-11-09,11.0,69.0
2015-11-10,0.0,70.0
2015-11-11,0.0,84.0
2015-11-12,113.0,90.0
2015-11-13,0.0,90.0
2015-11-14,0.0,90.0
2015-11-15,59.0,108.0
2015-11-16,0.0,131.0
2015-11-17,41.0,135.0
2015-11-18,325.0,135.0
2015-11-19,86.0,135.0
2015-11-20,0.0,112.0
2015-11-21,0.0,100.0
2015-11-22,0.0,106.0
2015-11-23,0.0,117.0
2015-11-24,66.0,120.0
2015-11-25,0.0,120.0
2015-11-26,206.0,120.0
2015-11-27,0.0,120.0
2015-11-28,80.0,120.0
2015-11-29,0.0,120.0
2015-11-30,52.0,110.0
2015-12-01,0.0,118.0
2015-12-02,221.0,125.0
2015-12-03,72.0,125.0
2015-12-04,278.0,125.0
2015-12-05,0.0,116.0
2015-12-06,38.0,110.0
2015-12-07,0.0,116.0
2015-12-08,0.0,120.0
2015-12-09,48.0,120.0
2015-12-10,989.0,120.0
2015-12-11,0.0,127.0
2015-12-12,0.0,130.0
2015-12-13,1282.0,124.0
2015-12-14,350.0,120.0
2015-12-15,144.0,120.0
2015-12-16,95.0,120.0
2015-12-17,0.0,120.0
2015-12-18,567.0,120.0
2015-12-19,0.0,120.0
2015-12-20,68.0,127.0
2015-12-21,1645.0,124.0
2015-12-22,983.0,115.0
2015-12-23,685.0,117.0
2015-12-24,74.0,123.0
2015-12-25,346.0,120.0
2015-12-26,0.0,120.0
2015-12-27,0.0,120.0
2015-12-28,635.0,120.0
2015-12-29,0.0,120.0
2015-12-30,0.0,120.0
2015-12-31,191.0,113.0
2016-01-01,0.0,110.0
2016-01-02,0.0,110.0
2016-01-03,204.0,110.0
2016-01-04,0.0,100.0
2016-01-05,1701.0,90.0
2016-01-06,2992.0,94.0
2016-01-07,1710.0,107.0
2016-01-08,362.0,117.0
2016-01-09,491.0,127.0
2016-01-10,426.0,130.0
2016-01-11,419.0,123.0
2016-01-12,112.0,107.0
2016-01-13,1568.0,95.0
2016-01-14,424.0,111.0
2016-01-15,1585.0,120.0
2016-01-16,1134.0,106.0
2016-01-17,2894.0,100.0
2016-01-18,5399.0,95.0
2016-01-19,5039.0,69.0
2016-01-20,2614.0,61.0
2016-01-21,1175.0,106.0
2016-01-22,1170.0,115.0
2016-01-23,2423.0,109.0
2016-01-24,1152.0,100.0
2016-01-25,962.0,106.0
2016-01-26,490.0,110.0
2016-01-27,720.0,110.0
2016-01-28,502.0,110.0
2016-01-29,791.0,110.0
2016-01-30,560.0,110.0
2016-01-31,652.0,116.0
2016-02-01,97.0,120.0
2016-02-02,243.0,120.0
2016-02-03,130.0,120.0
2016-02-04,506.0,120.0
2016-02-05,214.0,120.0
2016-02-06,289.0,120.0
2016-02-07,0.0,120.0
2016-02-08,477.0,120.0
2016-02-09,163.0,120.0
2016-02-10,362.0,113.0
2016-02-11,59.0,110.0
2016-02-12,204.0,110.0
2016-02-13,129.0,110.0
2016-02-14,214.0,110.0
2016-02-15,229.0,110.0
2016-02-16,266.0,110.0
2016-02-17,1055.0,110.0
2016-02-18,0.0,110.0
2016-02-19,350.0,120.0
2016-02-20,732.0,125.0
2016-02-21,445.0,125.0
2016-02-22,300.0,125.0
2016-02-23,238.0,125.0
2016-02-24,229.0,125.0
2016-02-25,156.0,118.0
2016-02-26,148.0,115.0
2016-02-27,234.0,115.0
2016-02-28,226.0,122.0
2016-02-29,10.0,132.0
2016-03-01,187.0,135.0
2016-03-02,197.0,135.0
2016-03-03,328.0,125.0
2016-03-04,61.0,115.0
2016-03-05,4628.0,98.0
2016-03-06,8424.0,64.0
2016-03-07,5866.0,50.0
2016-03-08,1877.0,64.0
2016-03-09,1012.0,78.0
2016-03-10,6436.0,104.0
2016-03-11,10193.0,89.0
2016-03-12,6818.0,80.0
2016-03-13,8022.0,66.0
2016-03-14,5480.0,50.0
2016-03-15,2615.0,50.0
2016-03-16,1691.0,50.0
2016-03-17,1551.0,50.0
2016-03-18,1236.0,64.0
2016-03-19,780.0,70.0
2016-03-20,940.0,70.0
2016-03-21,2161.0,70.0
2016-03-22,76.0,76.0
2016-03-23,2768.0,85.0
2016-03-24,635.0,93.0
2016-03-25,1054.0,110.0
2016-03-26,669.0,115.0
2016-03-27,755.0,115.0
2016-03-28,283.0,115.0
2016-03-29,487.0,163.0
2016-03-30,442.0,193.0
2016-03-31,497.0,179.0
2016-04-01,403.0,163.0
2016-04-02,315.0,160.0
2016-04-03,395.0,160.0
2016-04-04,485.0,160.0
2016-04-05,239.0,160.0
2016-04-06,369.0,184.0
2016-04-07,263.0,200.0
2016-04-08,356.0,207.0
2016-04-09,348.0,210.0
2016-04-10,307.0,210.0
2016-04-11,214.0,214.0
2016-04-12,331.0,224.0
2016-04-13,0.0,234.0
2016-04-14,514.0,258.0
2016-04-15,2.0,298.0
2016-04-16,331.0,317.0
2016-04-17,259.0,341.0
2016-04-18,181.0,359.0
2016-04-19,206.0,373.0
2016-04-20,131.0,385.0
2016-04-21,378.0,391.0
2016-04-22,126.0,394.0
2016-04-23,265.0,379.0
2016-04-24,267.0,376.0
2016-04-25,21.0,409.0
2016-04-26,157.0,443.0
2016-04-27,1195.0,474.0
2016-04-28,0.0,479.0
2016-04-29,404.0,460.0
2016-04-30,393.0,427.0
2016-05-01,0.0,415.0
2016-05-02,220.0,423.0
2016-05-03,215.0,446.0
2016-05-04,200.0,448.0
2016-05-05,124.0,451.0
2016-05-06,65.0,438.0
2016-05-07,264.0,402.0
2016-05-08,140.0,374.0
2016-05-09,0.0,360.0
2016-05-10,436.0,369.0
2016-05-11,183.0,385.0
2016-05-12,77.0,376.0
2016-05-13,196.0,404.0
2016-05-14,0.0,420.0
2016-05-15,36.0,420.0
2016-05-16,105.0,426.0
2016-05-17,36.0,483.0
2016-05-18,276.0,513.0
2016-05-19,0.0,496.0
2016-05-20,0.0,470.0
2016-05-21,79.0,462.0
2016-05-22,100.0,437.0
2016-05-23,57.0,450.0
2016-05-24,0.0,465.0
2016-05-25,235.0,465.0
2016-05-26,0.0,449.0
2016-05-27,75.0,457.0
2016-05-28,19.0,481.0
2016-05-29,157.0,437.0
2016-05-30,86.0,434.0
2016-05-31,79.0,496.0
2016-06-01,88.0,589.0
2016-06-02,125.0,625.0
2016-06-03,98.0,614.0
2016-06-04,25.0,599.0
2016-06-05,134.0,621.0
2016-06-06,0.0,621.0
2016-06-07,199.0,609.0
2016-06-08,0.0,591.0
2016-06-09,29.0,558.0
2016-06-10,0.0,515.0
2016-06-11,0.0,494.0
2016-06-12,94.0,475.0
2016-06-13,103.0,527.0
2016-06-14,0.0,596.0
2016-06-15,0.0,610.0
2016-06-16,69.0,616.0
2016-06-17,323.0,592.0
2016-06-18,0.0,557.0
2016-06-19,93.0,531.0
2016-06-20,0.0,528.0
2016-06-21,0.0,539.0
2016-06-22,312.0,551.0
2016-06-23,272.0,579.0
2016-06-24,902.0,597.0
2016-06-25,0.0,567.0
2016-06-26,0.0,547.0
2016-06-27,29.0,581.0
2016-06-28,37.0,583.0
2016-06-29,139.0,607.0
2016-06-30,7.0,646.0
2016-07-01,187.0,676.0
2016-07-02,0.0,663.0
2016-07-03,0.0,602.0
2016-07-04,0.0,551.0
2016-07-05,5.0,585.0
2016-07-06,0.0,594.0
2016-07-07,0.0,578.0
2016-07-08,0.0,579.0
2016-07-09,0.0,575.0
2016-07-10,0.0,550.0
2016-07-11,87.0,533.0
2016-07-12,0.0,527.0
2016-07-13,58.0,562.0
2016-07-14,85.0,570.0
2016-07-15,0.0,605.0
2016-07-16,48.0,605.0
2016-07-17,0.0,566.0
2016-07-18,10.0,585.0
2016-07-19,0.0,579.0
2016-07-20,64.0,562.0
2016-07-21,0.0,556.0
2016-07-22,165.0,570.0
2016-07-23,0.0,586.0
2016-07-24,27.0,586.0
2016-07-25,52.0,587.0
2016-07-26,146.0,618.0
2016-07-27,41.0,585.0
2016-07-28,67.0,534.0
