datetime,inflow_cfs,outflow_cfs
2015-10-01,0.0,1049.0
2015-10-02,0.0,1134.0
2015-10-03,0.0,889.0
2015-10-04,0.0,1052.0
2015-10-05,0.0,1195.0
2015-10-06,0.0,1048.0
2015-10-07,0.0,1105.0
2015-10-08,0.0,1035.0
2015-10-09,37.0,1094.0
2015-10-10,0.0,1029.0
2015-10-11,0.0,769.0
2015-10-12,183.0,924.0
2015-10-13,55.0,789.0
2015-10-14,0.0,508.0
2015-10-15,122.0,643.0
2015-10-16,0.0,318.0
2015-10-17,39.0,439.0
2015-10-18,0.0,281.0
2015-10-19,224.0,520.0
2015-10-20,62.0,331.0
2015-10-21,0.0,235.0
2015-10-22,180.0,303.0
2015-10-23,22.0,254.0
2015-10-24,170.0,614.0
2015-10-25,0.0,383.0
2015-10-26,10.0,243.0
2015-10-27,189.0,539.0
2015-10-28,268.0,906.0
2015-10-29,0.0,246.0
2015-10-30,208.0,311.0
2015-10-31,52.0,266.0
2015-11-01,15.0,259.0
2015-11-02,0.0,0.0
2015-11-03,299.0,572.0
2015-11-04,23.0,315.0
2015-11-05,167.0,656.0
2015-11-06,153.0,943.0
2015-11-07,0.0,434.0
2015-11-08,0.0,297.0
2015-11-09,123.0,288.0
2015-11-10,126.0,209.0
2015-11-11,298.0,814.0
2015-11-12,0.0,459.0
2015-11-13,7.0,441.0
2015-11-14,21.0,484.0
2015-11-15,0.0,286.0
2015-11-16,192.0,548.0
2015-11-17,488.0,1025.0
2015-11-18,0.0,522.0
2015-11-19,75.0,364.0
2015-11-20,135.0,647.0
2015-11-21,0.0,292.0
2015-11-22,23.0,312.0
2015-11-23,52.0,239.0
2015-11-24,380.0,784.0
2015-11-25,0.0,512.0
2015-11-26,0.0,481.0
2015-11-27,291.0,643.0
2015-11-28,119.0,769.0
2015-11-29,0.0,283.0
2015-11-30,67.0,363.0
2015-12-01,213.0,833.0
2015-12-02,0.0,472.0
2015-12-03,589.0,539.0
2015-12-04,977.0,1597.0
2015-12-05,410.0,1529.0
2015-12-06,290.0,1012.0
2015-12-07,472.0,920.0
2015-12-08,416.0,496.0
2015-12-09,352.0,242.0
2015-12-10,4435.0,241.0
2015-12-11,1348.0,261.0
2015-12-12,953.0,248.0
2015-12-13,1707.0,244.0
2015-12-14,920.0,240.0
2015-12-15,734.0,407.0
2015-12-16,497.0,657.0
2015-12-17,693.0,930.0
2015-12-18,1157.0,857.0
2015-12-19,890.0,725.0
2015-12-20,929.0,302.0
2015-12-21,1250.0,241.0
2015-12-22,1507.0,242.0
2015-12-23,1145.0,238.0
2015-12-24,1005.0,182.0
2015-12-25,846.0,488.0
2015-12-26,465.0,244.0
2015-12-27,592.0,238.0
2015-12-28,544.0,438.0
2015-12-29,468.0,578.0
2015-12-30,517.0,627.0
2015-12-31,437.0,658.0
2016-01-01,300.0,658.0
2016-01-02,382.0,520.0
2016-01-03,417.0,476.0
2016-01-04,461.0,543.0
2016-01-05,1207.0,475.0
2016-01-06,1688.0,610.0
2016-01-07,1217.0,388.0
2016-01-08,1022.0,411.0
2016-01-09,1085.0,829.0
2016-01-10,876.0,480.0
2016-01-11,838.0,750.0
2016-01-12,891.0,364.0
2016-01-13,3646.0,527.0
2016-01-14,2693.0,473.0
2016-01-15,1744.0,453.0
2016-01-16,2002.0,167.0
2016-01-17,9396.0,0.0
2016-01-18,8859.0,167.0
2016-01-19,9421.0,100.0
2016-01-20,6270.0,0.0
2016-01-21,3686.0,28.0
2016-01-22,7412.0,357.0
2016-01-23,8155.0,172.0
2016-01-24,5177.0,304.0
2016-01-25,3655.0,336.0
2016-01-26,2566.0,443.0
2016-01-27,2456.0,254.0
2016-01-28,2984.0,113.0
2016-01-29,8791.0,383.0
2016-01-30,6955.0,213.0
2016-01-31,4473.0,227.0
2016-02-01,3297.0,220.0
2016-02-02,2752.0,254.0
2016-02-03,2419.0,148.0
2016-02-04,2006.0,192.0
2016-02-05,1789.0,279.0
2016-02-06,1650.0,214.0
2016-02-07,1784.0,216.0
2016-02-08,2087.0,273.0
2016-02-09,2564.0,273.0
2016-02-10,2696.0,432.0
2016-02-11,2743.0,295.0
2016-02-12,3125.0,692.0
2016-02-13,3152.0,673.0
2016-02-14,3159.0,705.0
2016-02-15,3778.0,276.0
2016-02-16,3643.0,249.0
2016-02-17,6138.0,300.0
2016-02-18,8259.0,270.0
2016-02-19,5372.0,337.0
2016-02-20,4097.0,334.0
2016-02-21,3307.0,213.0
2016-02-22,2880.0,329.0
2016-02-23,2763.0,468.0
2016-02-24,2410.0,302.0
2016-02-25,2311.0,399.0
2016-02-26,2350.0,394.0
2016-02-27,3069.0,393.0
2016-02-28,2667.0,455.0
2016-02-29,2425.0,286.0
2016-03-01,2396.0,297.0
2016-03-02,2445.0,224.0
2016-03-03,4502.0,402.0
2016-03-04,4271.0,366.0
2016-03-05,14327.0,234.0
2016-03-06,23713.0,214.0
2016-03-07,9795.0,348.0
2016-03-08,6678.0,355.0
2016-03-09,5744.0,204.0
2016-03-10,14263.0,219.0
2016-03-11,15267.0,126.0
2016-03-12,12193.0,0.0
2016-03-13,11301.0,0.0
2016-03-14,10398.0,0.0
2016-03-15,7126.0,315.0
2016-03-16,5687.0,96.0
2016-03-17,5083.0,294.0
2016-03-18,4352.0,230.0
2016-03-19,4821.0,217.0
2016-03-20,8465.0,228.0
2016-03-21,8942.0,293.0
2016-03-22,6460.0,311.0
2016-03-23,5138.0,235.0
2016-03-24,4589.0,232.0
2016-03-25,4222.0,238.0
2016-03-26,3915.0,238.0
2016-03-27,3738.0,242.0
2016-03-28,3476.0,240.0
2016-03-29,3115.0,338.0
2016-03-30,3061.0,241.0
2016-03-31,2983.0,361.0
2016-04-01,3388.0,309.0
2016-04-02,3969.0,237.0
2016-04-03,4605.0,243.0
2016-04-04,4636.0,317.0
2016-04-05,4244.0,217.0
2016-04-06,4479.0,542.0
2016-04-07,5690.0,328.0
2016-04-08,5655.0,324.0
2016-04-09,6060.0,344.0
2016-04-10,6900.0,326.0
2016-04-11,6863.0,482.0
2016-04-12,6914.0,268.0
2016-04-13,5516.0,372.0
2016-04-14,4490.0,327.0
2016-04-15,3674.0,331.0
2016-04-16,3383.0,285.0
2016-04-17,3547.0,357.0
2016-04-18,3886.0,459.0
2016-04-19,4183.0,339.0
2016-04-20,4448.0,287.0
2016-04-21,4232.0,568.0
2016-04-22,5271.0,636.0
2016-04-23,3944.0,629.0
2016-04-24,3267.0,630.0
2016-04-25,3242.0,953.0
2016-04-26,2665.0,1450.0
2016-04-27,2655.0,1874.0
2016-04-28,2456.0,1504.0
2016-04-29,2603.0,2120.0
2016-04-30,2572.0,2917.0
2016-05-01,2722.0,2328.0
2016-05-02,2986.0,2809.0
2016-05-03,3058.0,2743.0
2016-05-04,3303.0,3396.0
2016-05-05,3368.0,3105.0
2016-05-06,3763.0,3745.0
2016-05-07,4094.0,4094.0
2016-05-08,4412.0,5571.0
2016-05-09,4797.0,8467.0
2016-05-10,3876.0,8548.0
2016-05-11,3463.0,7208.0
2016-05-12,2897.0,5979.0
2016-05-13,3759.0,7891.0
2016-05-14,4264.0,9029.0
2016-05-15,2812.0,6815.0
2016-05-16,2207.0,5549.0
2016-05-17,2742.0,4230.0
2016-05-18,2918.0,3998.0
2016-05-19,2525.0,3932.0
2016-05-20,1547.0,4024.0
2016-05-21,743.0,3970.0
2016-05-22,3377.0,3900.0
2016-05-23,1643.0,3905.0
2016-05-24,1575.0,3774.0
2016-05-25,1840.0,3349.0
2016-05-26,1948.0,3383.0
2016-05-27,1628.0,3211.0
2016-05-28,3305.0,3508.0
2016-05-29,2390.0,3303.0
2016-05-30,1485.0,3344.0
2016-05-31,1428.0,3017.0
2016-06-01,922.0,3512.0
2016-06-02,1661.0,3264.0
2016-06-03,1030.0,3508.0
2016-06-04,1477.0,3427.0
2016-06-05,2588.0,3129.0
2016-06-06,2221.0,3027.0
2016-06-07,1640.0,3109.0
2016-06-08,1245.0,3108.0
2016-06-09,1232.0,3059.0
2016-06-10,865.0,3071.0
2016-06-11,431.0,3248.0
2016-06-12,577.0,3086.0
2016-06-13,1834.0,2853.0
2016-06-14,187.0,2960.0
2016-06-15,384.0,1978.0
2016-06-16,703.0,2138.0
2016-06-17,1177.0,2193.0
2016-06-18,1246.0,2105.0
2016-06-19,1297.0,2096.0
2016-06-20,1097.0,1999.0
2016-06-21,915.0,2101.0
2016-06-22,1264.0,2987.0
2016-06-23,1746.0,3170.0
2016-06-24,1354.0,2923.0
