datetime,inflow_cfs,outflow_cfs
2015-10-01,618.0,1473.0
2015-10-02,798.0,2220.0
2015-10-03,219.0,1638.0
2015-10-04,700.0,984.0
2015-10-05,125.0,1539.0
2015-10-06,584.0,1994.0
2015-10-07,192.0,1037.0
2015-10-08,347.0,628.0
2015-10-09,849.0,849.0
2015-10-10,153.0,153.0
2015-10-11,394.0,113.0
2015-10-12,678.0,115.0
2015-10-13,683.0,119.0
2015-10-14,114.0,114.0
2015-10-15,674.0,392.0
2015-10-16,229.0,229.0
2015-10-17,1016.0,169.0
2015-10-18,451.0,168.0
2015-10-19,172.0,172.0
2015-10-20,1024.0,175.0
2015-10-21,496.0,213.0
2015-10-22,446.0,162.0
2015-10-23,160.0,160.0
2015-10-24,445.0,161.0
2015-10-25,728.0,161.0
2015-10-26,444.0,160.0
2015-10-27,446.0,161.0
2015-10-28,160.0,160.0
2015-10-29,160.0,160.0
2015-10-30,1013.0,160.0
2015-10-31,160.0,160.0
2015-11-01,445.0,160.0
2015-11-02,446.0,161.0
2015-11-03,309.0,309.0
2015-11-04,778.0,208.0
2015-11-05,0.0,356.0
2015-11-06,0.0,225.0
2015-11-07,161.0,161.0
2015-11-08,160.0,160.0
2015-11-09,447.0,162.0
2015-11-10,160.0,160.0
2015-11-11,162.0,162.0
2015-11-12,248.0,248.0
2015-11-13,0.0,222.0
2015-11-14,161.0,161.0
2015-11-15,449.0,164.0
2015-11-16,732.0,161.0
2015-11-17,447.0,162.0
2015-11-18,455.0,169.0
2015-11-19,345.0,345.0
2015-11-20,352.0,352.0
2015-11-21,618.0,618.0
2015-11-22,167.0,167.0
2015-11-23,446.0,161.0
2015-11-24,816.0,244.0
2015-11-25,816.0,244.0
2015-11-26,527.0,527.0
2015-11-27,162.0,448.0
2015-11-28,447.0,162.0
2015-11-29,450.0,164.0
2015-11-30,161.0,161.0
2015-12-01,447.0,161.0
2015-12-02,735.0,162.0
2015-12-03,735.0,162.0
2015-12-04,448.0,161.0
2015-12-05,160.0,160.0
2015-12-06,447.0,160.0
2015-12-07,161.0,161.0
2015-12-08,446.0,159.0
2015-12-09,161.0,161.0
2015-12-10,162.0,162.0
2015-12-11,738.0,163.0
2015-12-12,448.0,160.0
2015-12-13,737.0,161.0
2015-12-14,738.0,161.0
2015-12-15,161.0,161.0
2015-12-16,160.0,160.0
2015-12-17,449.0,160.0
2015-12-18,739.0,161.0
2015-12-19,451.0,162.0
2015-12-20,453.0,163.0
2015-12-21,1612.0,163.0
2015-12-22,13435.0,163.0
2015-12-23,3144.0,163.0
2015-12-24,1661.0,164.0
2015-12-25,1664.0,163.0
2015-12-26,1066.0,163.0
2015-12-27,766.0,163.0
2015-12-28,163.0,163.0
2015-12-29,1068.0,163.0
2015-12-30,465.0,163.0
2015-12-31,465.0,163.0
2016-01-01,468.0,165.0
2016-01-02,766.0,160.0
2016-01-03,464.0,161.0
2016-01-04,464.0,161.0
2016-01-05,1681.0,162.0
2016-01-06,2909.0,165.0
2016-01-07,2308.0,164.0
2016-01-08,180.0,180.0
2016-01-09,1702.0,162.0
2016-01-10,1398.0,163.0
2016-01-11,780.0,162.0
2016-01-12,1400.0,161.0
2016-01-13,1403.0,161.0
2016-01-14,783.0,161.0
2016-01-15,1720.0,161.0
2016-01-16,1411.0,161.0
2016-01-17,1726.0,161.0
2016-01-18,3061.0,231.0
2016-01-19,3621.0,143.0
2016-01-20,3343.0,162.0
2016-01-21,2085.0,169.0
2016-01-22,2406.0,162.0
2016-01-23,5000.0,162.0
2016-01-24,3409.0,162.0
2016-01-25,2447.0,163.0
2016-01-26,1796.0,160.0
2016-01-27,1804.0,162.0
2016-01-28,1764.0,162.0
2016-01-29,1481.0,162.0
2016-01-30,3142.0,162.0
2016-01-31,3157.0,162.0
2016-02-01,2836.0,161.0
2016-02-02,2510.0,159.0
2016-02-03,2183.0,161.0
2016-02-04,2164.0,135.0
2016-02-05,2196.0,161.0
2016-02-06,1866.0,165.0
2016-02-07,2552.0,162.0
2016-02-08,2575.0,176.0
2016-02-09,2603.0,195.0
2016-02-10,2260.0,189.0
2016-02-11,2261.0,183.0
2016-02-12,2270.0,186.0
2016-02-13,2270.0,183.0
2016-02-14,2282.0,183.0
2016-02-15,2288.0,182.0
2016-02-16,2296.0,182.0
2016-02-17,2299.0,179.0
2016-02-18,3018.0,179.0
2016-02-19,2313.0,175.0
2016-02-20,2320.0,175.0
2016-02-21,2328.0,176.0
2016-02-22,1980.0,181.0
2016-02-23,2340.0,175.0
2016-02-24,2349.0,176.0
2016-02-25,2565.0,385.0
2016-02-26,2429.0,241.0
2016-02-27,2370.0,176.0
2016-02-28,2379.0,177.0
2016-02-29,2789.0,177.0
2016-03-01,2393.0,175.0
2016-03-02,2401.0,176.0
2016-03-03,2781.0,176.0
2016-03-04,2792.0,177.0
2016-03-05,3932.0,178.0
2016-03-06,13098.0,179.0
2016-03-07,7501.0,177.0
2016-03-08,5230.0,176.0
2016-03-09,4088.0,175.0
2016-03-10,3427.0,282.0
2016-03-11,5461.0,322.0
2016-03-12,5070.0,294.0
2016-03-13,6996.0,179.0
2016-03-14,11950.0,178.0
2016-03-15,6320.0,176.0
2016-03-16,5139.0,176.0
2016-03-17,4868.0,291.0
2016-03-18,4780.0,176.0
2016-03-19,4386.0,177.0
2016-03-20,3982.0,175.0
2016-03-21,4312.0,487.0
2016-03-22,4324.0,481.0
2016-03-23,3900.0,469.0
2016-03-24,3910.0,464.0
2016-03-25,3947.0,487.0
2016-03-26,3505.0,466.0
2016-03-27,3065.0,450.0
2016-03-28,4013.0,514.0
2016-03-29,3596.0,523.0
2016-03-30,3417.0,774.0
2016-03-31,3611.0,959.0
2016-04-01,3561.0,902.0
2016-04-02,3452.0,1674.0
2016-04-03,3678.0,1450.0
