datetime,inflow_cfs,outflow_cfs
2015-10-01,72.0,33.0
2015-10-02,0.0,229.0
2015-10-03,32.0,26.0
2015-10-04,0.0,29.0
2015-10-05,17.0,30.0
2015-10-06,0.0,97.0
2015-10-07,0.0,222.0
2015-10-08,0.0,188.0
2015-10-09,0.0,331.0
2015-10-10,3.0,0.0
2015-10-11,23.0,0.0
2015-10-12,0.0,233.0
2015-10-13,0.0,277.0
2015-10-14,0.0,262.0
2015-10-15,0.0,154.0
2015-10-16,26.0,164.0
2015-10-17,0.0,158.0
2015-10-18,29.0,173.0
2015-10-19,127.0,402.0
2015-10-20,254.0,845.0
2015-10-21,139.0,671.0
2015-10-22,73.0,714.0
2015-10-23,49.0,684.0
2015-10-24,3.0,717.0
2015-10-25,0.0,715.0
2015-10-26,0.0,592.0
2015-10-27,29.0,489.0
2015-10-28,0.0,472.0
2015-10-29,16.0,397.0
2015-10-30,11.0,416.0
2015-10-31,79.0,289.0
2015-11-01,110.0,328.0
2015-11-02,229.0,260.0
2015-11-03,380.0,265.0
2015-11-04,314.0,278.0
2015-11-05,251.0,281.0
2015-11-06,203.0,276.0
2015-11-07,172.0,275.0
2015-11-08,207.0,279.0
2015-11-09,257.0,275.0
2015-11-10,213.0,273.0
2015-11-11,208.0,255.0
2015-11-12,177.0,238.0
2015-11-13,190.0,228.0
2015-11-14,168.0,229.0
2015-11-15,250.0,239.0
2015-11-16,201.0,240.0
2015-11-17,174.0,241.0
2015-11-18,200.0,239.0
2015-11-19,213.0,235.0
2015-11-20,218.0,235.0
2015-11-21,231.0,242.0
2015-11-22,239.0,244.0
2015-11-23,229.0,246.0
2015-11-24,243.0,248.0
2015-11-25,234.0,245.0
2015-11-26,177.0,244.0
2015-11-27,155.0,244.0
2015-11-28,162.0,245.0
2015-11-29,134.0,245.0
2015-11-30,112.0,245.0
2015-12-01,116.0,244.0
2015-12-02,129.0,245.0
2015-12-03,101.0,245.0
2015-12-04,118.0,245.0
2015-12-05,130.0,246.0
2015-12-06,111.0,244.0
2015-12-07,99.0,244.0
2015-12-08,101.0,245.0
2015-12-09,107.0,234.0
2015-12-10,192.0,248.0
2015-12-11,291.0,247.0
2015-12-12,262.0,245.0
2015-12-13,248.0,248.0
2015-12-14,294.0,183.0
2015-12-15,228.0,161.0
2015-12-16,189.0,161.0
2015-12-17,189.0,183.0
2015-12-18,161.0,439.0
2015-12-19,204.0,221.0
2015-12-20,225.0,259.0
2015-12-21,3310.0,312.0
2015-12-22,5463.0,186.0
2015-12-23,1485.0,226.0
2015-12-24,1105.0,246.0
2015-12-25,791.0,240.0
2015-12-26,676.0,237.0
2015-12-27,438.0,235.0
2015-12-28,478.0,235.0
2015-12-29,432.0,235.0
2015-12-30,360.0,235.0
2015-12-31,360.0,235.0
2016-01-01,322.0,250.0
2016-01-02,239.0,252.0
2016-01-03,276.0,250.0
2016-01-04,396.0,383.0
2016-01-05,805.0,405.0
2016-01-06,2774.0,361.0
2016-01-07,1777.0,307.0
2016-01-08,925.0,248.0
2016-01-09,776.0,254.0
2016-01-10,589.0,257.0
2016-01-11,555.0,53.0
2016-01-12,460.0,57.0
2016-01-13,484.0,46.0
2016-01-14,479.0,41.0
2016-01-15,566.0,36.0
2016-01-16,488.0,439.0
2016-01-17,600.0,812.0
2016-01-18,1551.0,449.0
2016-01-19,2646.0,124.0
2016-01-20,1757.0,78.0
2016-01-21,1190.0,70.0
2016-01-22,1294.0,129.0
2016-01-23,2712.0,559.0
2016-01-24,1591.0,494.0
2016-01-25,1238.0,76.0
2016-01-26,893.0,62.0
2016-01-27,850.0,59.0
2016-01-28,665.0,60.0
2016-01-29,719.0,65.0
2016-01-30,1577.0,416.0
2016-01-31,2240.0,809.0
2016-02-01,1602.0,68.0
2016-02-02,1173.0,58.0
2016-02-03,1379.0,50.0
2016-02-04,908.0,51.0
2016-02-05,823.0,223.0
2016-02-06,646.0,234.0
2016-02-07,744.0,230.0
2016-02-08,798.0,231.0
2016-02-09,911.0,230.0
2016-02-10,1002.0,230.0
2016-02-11,904.0,242.0
2016-02-12,876.0,223.0
2016-02-13,861.0,225.0
2016-02-14,877.0,233.0
2016-02-15,894.0,231.0
2016-02-16,942.0,234.0
2016-02-17,1175.0,231.0
2016-02-18,1414.0,226.0
2016-02-19,1096.0,224.0
2016-02-20,960.0,231.0
2016-02-21,910.0,230.0
2016-02-22,826.0,231.0
2016-02-23,853.0,229.0
2016-02-24,901.0,235.0
2016-02-25,963.0,237.0
2016-02-26,1062.0,235.0
2016-02-27,1115.0,238.0
2016-02-28,1144.0,237.0
2016-02-29,1061.0,233.0
2016-03-01,1143.0,235.0
2016-03-02,1242.0,233.0
2016-03-03,1316.0,240.0
2016-03-04,1545.0,253.0
2016-03-05,5216.0,260.0
2016-03-06,8139.0,253.0
2016-03-07,4814.0,244.0
2016-03-08,2762.0,222.0
2016-03-09,2733.0,228.0
2016-03-10,2031.0,228.0
2016-03-11,3615.0,311.0
2016-03-12,3198.0,245.0
2016-03-13,5889.0,394.0
2016-03-14,6450.0,222.0
2016-03-15,3426.0,119.0
2016-03-16,2549.0,191.0
2016-03-17,2264.0,181.0
2016-03-18,2202.0,181.0
2016-03-19,2226.0,254.0
2016-03-20,2091.0,227.0
2016-03-21,2824.0,235.0
2016-03-22,2014.0,240.0
2016-03-23,1675.0,239.0
2016-03-24,1577.0,250.0
2016-03-25,1783.0,239.0
2016-03-26,1792.0,235.0
2016-03-27,1966.0,231.0
2016-03-28,2112.0,241.0
2016-03-29,1697.0,240.0
2016-03-30,1450.0,247.0
2016-03-31,1331.0,245.0
2016-04-01,1460.0,165.0
2016-04-02,1858.0,162.0
2016-04-03,2364.0,193.0
2016-04-04,2522.0,652.0
2016-04-05,2971.0,600.0
2016-04-06,3079.0,453.0
2016-04-07,3515.0,796.0
2016-04-08,3797.0,711.0
2016-04-09,4915.0,257.0
2016-04-10,3680.0,135.0
2016-04-11,3157.0,355.0
2016-04-12,3013.0,58.0
2016-04-13,3099.0,381.0
2016-04-14,2919.0,517.0
2016-04-15,2622.0,618.0
2016-04-16,2327.0,490.0
2016-04-17,2845.0,648.0
2016-04-18,3512.0,670.0
2016-04-19,3481.0,406.0
2016-04-20,3986.0,670.0
2016-04-21,3827.0,381.0
2016-04-22,4063.0,790.0
2016-04-23,2949.0,982.0
2016-04-24,2701.0,805.0
2016-04-25,2398.0,748.0
2016-04-26,2016.0,693.0
2016-04-27,2025.0,718.0
2016-04-28,1874.0,560.0
2016-04-29,2023.0,443.0
2016-04-30,2163.0,536.0
2016-05-01,2203.0,730.0
2016-05-02,2016.0,840.0
2016-05-03,2275.0,952.0
2016-05-04,2721.0,757.0
2016-05-05,2954.0,1165.0
2016-05-06,2964.0,999.0
2016-05-07,2516.0,937.0
2016-05-08,2311.0,1225.0
2016-05-09,2524.0,1330.0
2016-05-10,3689.0,1141.0
2016-05-11,4002.0,1159.0
2016-05-12,4524.0,1292.0
2016-05-13,4917.0,787.0
2016-05-14,4842.0,1301.0
2016-05-15,4347.0,1149.0
2016-05-16,3793.0,1327.0
2016-05-17,3543.0,1442.0
2016-05-18,3717.0,1582.0
2016-05-19,3922.0,1616.0
2016-05-20,3698.0,1424.0
2016-05-21,2456.0,1292.0
2016-05-22,1986.0,1437.0
2016-05-23,1891.0,1248.0
2016-05-24,1815.0,1472.0
2016-05-25,1740.0,1602.0
2016-05-26,1789.0,1467.0
2016-05-27,1946.0,1255.0
2016-05-28,2347.0,1563.0
2016-05-29,2690.0,1304.0
2016-05-30,2747.0,1379.0
2016-05-31,3208.0,1625.0
2016-06-01,3541.0,1507.0
2016-06-02,3501.0,1668.0
2016-06-03,3326.0,1296.0
2016-06-04,3394.0,1566.0
2016-06-05,3204.0,1871.0
2016-06-06,3004.0,1500.0
2016-06-07,2897.0,1794.0
2016-06-08,2849.0,1383.0
2016-06-09,2523.0,1341.0
2016-06-10,2201.0,1283.0
2016-06-11,1675.0,1602.0
2016-06-12,2133.0,1479.0
2016-06-13,2233.0,1626.0
2016-06-14,1656.0,1339.0
2016-06-15,1451.0,1646.0
2016-06-16,1260.0,1649.0
2016-06-17,1132.0,1496.0
