datetime,inflow_cfs,outflow_cfs
2015-10-01,608.0,589.0
2015-10-02,596.0,641.0
2015-10-03,791.0,703.0
2015-10-04,664.0,588.0
2015-10-05,870.0,590.0
2015-10-06,979.0,637.0
2015-10-07,458.0,255.0
2015-10-08,602.0,257.0
2015-10-09,1214.0,796.0
2015-10-10,871.0,258.0
2015-10-11,883.0,257.0
2015-10-12,915.0,705.0
2015-10-13,841.0,471.0
2015-10-14,939.0,711.0
2015-10-15,21.0,257.0
2015-10-16,278.0,258.0
2015-10-17,1043.0,258.0
2015-10-18,863.0,256.0
2015-10-19,594.0,256.0
2015-10-20,749.0,254.0
2015-10-21,770.0,254.0
2015-10-22,790.0,258.0
2015-10-23,756.0,882.0
2015-10-24,804.0,938.0
2015-10-25,599.0,939.0
2015-10-26,357.0,931.0
2015-10-27,379.0,939.0
2015-10-28,336.0,933.0
2015-10-29,290.0,893.0
2015-10-30,320.0,949.0
2015-10-31,303.0,1062.0
2015-11-01,338.0,1057.0
2015-11-02,730.0,1071.0
2015-11-03,444.0,1065.0
2015-11-04,406.0,1065.0
2015-11-05,364.0,885.0
2015-11-06,485.0,639.0
2015-11-07,346.0,802.0
2015-11-08,539.0,238.0
2015-11-09,465.0,238.0
2015-11-10,345.0,264.0
2015-11-11,329.0,239.0
2015-11-12,453.0,239.0
2015-11-13,338.0,316.0
2015-11-14,394.0,643.0
2015-11-15,480.0,408.0
2015-11-16,368.0,479.0
2015-11-17,355.0,378.0
2015-11-18,357.0,305.0
2015-11-19,220.0,295.0
2015-11-20,362.0,324.0
2015-11-21,308.0,190.0
2015-11-22,259.0,380.0
2015-11-23,375.0,190.0
2015-11-24,390.0,107.0
2015-11-25,310.0,12.0
2015-11-26,273.0,86.0
2015-11-27,255.0,314.0
2015-11-28,231.0,289.0
2015-11-29,268.0,208.0
2015-11-30,275.0,201.0
2015-12-01,306.0,367.0
2015-12-02,231.0,256.0
2015-12-03,235.0,361.0
2015-12-04,483.0,21.0
2015-12-05,517.0,9.0
2015-12-06,403.0,25.0
2015-12-07,489.0,368.0
2015-12-08,486.0,366.0
2015-12-09,441.0,354.0
2015-12-10,682.0,9.0
2015-12-11,730.0,305.0
2015-12-12,645.0,304.0
2015-12-13,705.0,11.0
2015-12-14,543.0,12.0
2015-12-15,453.0,418.0
2015-12-16,522.0,486.0
2015-12-17,417.0,364.0
2015-12-18,531.0,310.0
2015-12-19,647.0,310.0
2015-12-20,594.0,10.0
2015-12-21,1525.0,11.0
2015-12-22,6341.0,25.0
2015-12-23,2219.0,15.0
2015-12-24,1472.0,11.0
2015-12-25,970.0,10.0
2015-12-26,922.0,10.0
2015-12-27,700.0,11.0
2015-12-28,752.0,12.0
2015-12-29,628.0,111.0
2015-12-30,664.0,10.0
2015-12-31,610.0,146.0
2016-01-01,612.0,149.0
2016-01-02,811.0,8.0
2016-01-03,779.0,196.0
2016-01-04,872.0,81.0
2016-01-05,1661.0,354.0
2016-01-06,1858.0,109.0
2016-01-07,1521.0,120.0
2016-01-08,1135.0,34.0
2016-01-09,1098.0,89.0
2016-01-10,883.0,21.0
2016-01-11,919.0,63.0
2016-01-12,1023.0,33.0
2016-01-13,858.0,56.0
2016-01-14,973.0,76.0
2016-01-15,1204.0,65.0
2016-01-16,1248.0,41.0
2016-01-17,1072.0,34.0
2016-01-18,1842.0,11.0
2016-01-19,2200.0,15.0
2016-01-20,1659.0,16.0
2016-01-21,1402.0,47.0
2016-01-22,1471.0,12.0
2016-01-23,2680.0,28.0
2016-01-24,2004.0,28.0
2016-01-25,1562.0,66.0
2016-01-26,1334.0,29.0
2016-01-27,1242.0,72.0
2016-01-28,1275.0,20.0
2016-01-29,1207.0,18.0
2016-01-30,3150.0,66.0
2016-01-31,2433.0,33.0
2016-02-01,1726.0,130.0
2016-02-02,1458.0,13.0
2016-02-03,1460.0,39.0
2016-02-04,1210.0,51.0
2016-02-05,1227.0,57.0
2016-02-06,1154.0,43.0
2016-02-07,1229.0,30.0
2016-02-08,1236.0,74.0
2016-02-09,1244.0,77.0
2016-02-10,1125.0,39.0
2016-02-11,1260.0,189.0
2016-02-12,1218.0,202.0
2016-02-13,1221.0,33.0
2016-02-14,1183.0,38.0
2016-02-15,1216.0,327.0
2016-02-16,1316.0,426.0
2016-02-17,1695.0,490.0
2016-02-18,1816.0,83.0
2016-02-19,1574.0,160.0
2016-02-20,1171.0,31.0
2016-02-21,1063.0,42.0
2016-02-22,1278.0,349.0
2016-02-23,1156.0,762.0
2016-02-24,1123.0,250.0
2016-02-25,1272.0,49.0
2016-02-26,1255.0,30.0
2016-02-27,1382.0,46.0
2016-02-28,1194.0,25.0
2016-02-29,1225.0,29.0
2016-03-01,1996.0,319.0
2016-03-02,1328.0,294.0
2016-03-03,1447.0,10.0
2016-03-04,2797.0,27.0
2016-03-05,2597.0,63.0
2016-03-06,6886.0,165.0
2016-03-07,4796.0,29.0
2016-03-08,2728.0,105.0
2016-03-09,2153.0,695.0
2016-03-10,2155.0,383.0
2016-03-11,2825.0,425.0
2016-03-12,2857.0,194.0
2016-03-13,4220.0,236.0
2016-03-14,6112.0,204.0
2016-03-15,3914.0,27.0
2016-03-16,3020.0,29.0
2016-03-17,2029.0,227.0
2016-03-18,2393.0,377.0
2016-03-19,2632.0,301.0
2016-03-20,2501.0,104.0
2016-03-21,2773.0,57.0
2016-03-22,3102.0,34.0
2016-03-23,2662.0,17.0
2016-03-24,2445.0,48.0
2016-03-25,2361.0,134.0
2016-03-26,773.0,164.0
2016-03-27,2744.0,79.0
2016-03-28,4080.0,492.0
2016-03-29,2360.0,871.0
2016-03-30,2105.0,1147.0
2016-03-31,1873.0,854.0
2016-04-01,1858.0,1051.0
2016-04-02,1796.0,1179.0
2016-04-03,1919.0,2202.0
2016-04-04,2134.0,836.0
2016-04-05,2063.0,1244.0
2016-04-06,1917.0,2097.0
2016-04-07,1820.0,1620.0
2016-04-08,2444.0,2035.0
2016-04-09,2806.0,1591.0
2016-04-10,2652.0,1181.0
2016-04-11,2378.0,1499.0
2016-04-12,2201.0,1253.0
2016-04-13,1975.0,172.0
2016-04-14,2318.0,948.0
2016-04-15,2186.0,751.0
2016-04-16,1905.0,456.0
2016-04-17,1796.0,961.0
2016-04-18,1918.0,1205.0
2016-04-19,2000.0,2841.0
2016-04-20,2202.0,3152.0
2016-04-21,2031.0,3887.0
2016-04-22,2414.0,2994.0
2016-04-23,2220.0,2865.0
2016-04-24,2025.0,2014.0
2016-04-25,2093.0,3234.0
2016-04-26,2135.0,3738.0
2016-04-27,2049.0,3431.0
2016-04-28,1746.0,3974.0
2016-04-29,1801.0,2876.0
2016-04-30,1831.0,1924.0
2016-05-01,1737.0,1925.0
2016-05-02,1928.0,3092.0
2016-05-03,2057.0,3750.0
2016-05-04,1833.0,2412.0
2016-05-05,2000.0,3701.0
2016-05-06,2064.0,3261.0
2016-05-07,2275.0,2111.0
2016-05-08,2015.0,2192.0
2016-05-09,2109.0,3491.0
2016-05-10,1953.0,3364.0
2016-05-11,2225.0,2159.0
2016-05-12,2212.0,2491.0
2016-05-13,2610.0,2532.0
2016-05-14,3966.0,2207.0
2016-05-15,4193.0,1522.0
2016-05-16,4084.0,1933.0
2016-05-17,3405.0,1864.0
2016-05-18,3059.0,2296.0
2016-05-19,2793.0,1439.0
2016-05-20,2865.0,2099.0
2016-05-21,2984.0,1831.0
2016-05-22,2501.0,1668.0
2016-05-23,1824.0,2208.0
2016-05-24,1413.0,2326.0
2016-05-25,1315.0,1844.0
2016-05-26,1358.0,2013.0
2016-05-27,1414.0,1672.0
2016-05-28,1669.0,1820.0
2016-05-29,1817.0,1245.0
