datetime,inflow_cfs,outflow_cfs
2015-10-01,1696.0,1332.0
2015-10-02,1763.0,1412.0
2015-10-03,1646.0,1412.0
2015-10-04,1372.0,1412.0
2015-10-05,393.0,1545.0
2015-10-06,1287.0,1611.0
2015-10-07,177.0,1728.0
2015-10-08,1231.0,1770.0
2015-10-09,577.0,2126.0
2015-10-10,1746.0,2208.0
2015-10-11,1769.0,2196.0
2015-10-12,1761.0,2217.0
2015-10-13,1244.0,2290.0
2015-10-14,2541.0,2295.0
2015-10-15,1422.0,2310.0
2015-10-16,1426.0,2276.0
2015-10-17,1899.0,2369.0
2015-10-18,2403.0,2569.0
2015-10-19,1683.0,2553.0
2015-10-20,2765.0,2566.0
2015-10-21,1883.0,2524.0
2015-10-22,1267.0,2580.0
2015-10-23,2055.0,2702.0
2015-10-24,1329.0,2788.0
2015-10-25,932.0,2721.0
2015-10-26,2477.0,2770.0
2015-10-27,1430.0,2758.0
2015-10-28,1008.0,2759.0
2015-10-29,1014.0,2780.0
2015-10-30,635.0,2540.0
2015-10-31,764.0,2533.0
2015-11-01,1022.0,2020.0
2015-11-02,941.0,1968.0
2015-11-03,564.0,2356.0
2015-11-04,471.0,1818.0
2015-11-05,756.0,1865.0
2015-11-06,511.0,2810.0
2015-11-07,1253.0,2830.0
2015-11-08,180.0,2829.0
2015-11-09,688.0,2482.0
2015-11-10,673.0,2236.0
2015-11-11,390.0,2111.0
2015-11-12,358.0,2020.0
2015-11-13,364.0,1924.0
2015-11-14,456.0,1821.0
2015-11-15,1067.0,1827.0
2015-11-16,13.0,1707.0
2015-11-17,1289.0,1523.0
2015-11-18,414.0,1548.0
2015-11-19,966.0,1526.0
2015-11-20,0.0,1541.0
2015-11-21,190.0,1501.0
2015-11-22,509.0,648.0
2015-11-23,366.0,1038.0
2015-11-24,1319.0,1529.0
2015-11-25,0.0,1128.0
2015-11-26,1120.0,2117.0
2015-11-27,0.0,1852.0
2015-11-28,429.0,1797.0
2015-11-29,479.0,1814.0
2015-11-30,795.0,1502.0
2015-12-01,900.0,1828.0
2015-12-02,482.0,2125.0
2015-12-03,260.0,2149.0
2015-12-04,1089.0,2124.0
2015-12-05,1313.0,2203.0
2015-12-06,337.0,2028.0
2015-12-07,2331.0,1745.0
2015-12-08,54.0,1689.0
2015-12-09,1103.0,2004.0
