datetime,inflow_cfs,outflow_cfs
2015-10-01,106.0,289.0
2015-10-02,127.0,279.0
2015-10-03,104.0,274.0
2015-10-04,159.0,274.0
2015-10-05,156.0,270.0
2015-10-06,166.0,260.0
2015-10-07,216.0,262.0
2015-10-08,362.0,245.0
2015-10-09,404.0,229.0
2015-10-10,190.0,225.0
2015-10-11,208.0,225.0
2015-10-12,161.0,225.0
2015-10-13,160.0,225.0
2015-10-14,153.0,230.0
2015-10-15,194.0,231.0
2015-10-16,217.0,226.0
2015-10-17,268.0,220.0
2015-10-18,351.0,221.0
2015-10-19,367.0,205.0
2015-10-20,414.0,194.0
2015-10-21,296.0,200.0
2015-10-22,301.0,196.0
2015-10-23,252.0,194.0
2015-10-24,231.0,194.0
2015-10-25,250.0,194.0
2015-10-26,238.0,200.0
2015-10-27,199.0,201.0
2015-10-28,213.0,177.0
2015-10-29,266.0,135.0
2015-10-30,255.0,112.0
2015-10-31,271.0,108.0
2015-11-01,209.0,108.0
2015-11-02,412.0,110.0
2015-11-03,461.0,108.0
2015-11-04,367.0,108.0
2015-11-05,319.0,108.0
2015-11-06,349.0,108.0
2015-11-07,320.0,108.0
2015-11-08,292.0,108.0
2015-11-09,377.0,108.0
2015-11-10,329.0,108.0
2015-11-11,291.0,108.0
2015-11-12,310.0,107.0
2015-11-13,311.0,107.0
2015-11-14,292.0,107.0
2015-11-15,347.0,107.0
2015-11-16,380.0,107.0
2015-11-17,340.0,106.0
2015-11-18,339.0,105.0
2015-11-19,380.0,105.0
2015-11-20,381.0,105.0
2015-11-21,321.0,105.0
2015-11-22,312.0,105.0
2015-11-23,325.0,107.0
2015-11-24,469.0,111.0
2015-11-25,438.0,111.0
2015-11-26,287.0,111.0
2015-11-27,297.0,110.0
2015-11-28,301.0,113.0
2015-11-29,374.0,115.0
2015-11-30,250.0,113.0
2015-12-01,284.0,157.0
2015-12-02,252.0,157.0
2015-12-03,262.0,155.0
2015-12-04,251.0,155.0
2015-12-05,230.0,155.0
2015-12-06,231.0,155.0
2015-12-07,241.0,155.0
2015-12-08,213.0,158.0
2015-12-09,256.0,160.0
2015-12-10,293.0,158.0
2015-12-11,467.0,155.0
2015-12-12,400.0,158.0
2015-12-13,378.0,159.0
2015-12-14,463.0,160.0
2015-12-15,350.0,170.0
2015-12-16,329.0,170.0
2015-12-17,308.0,170.0
2015-12-18,349.0,167.0
2015-12-19,341.0,162.0
2015-12-20,340.0,160.0
2015-12-21,413.0,160.0
2015-12-22,2022.0,131.0
2015-12-23,1313.0,137.0
2015-12-24,895.0,141.0
2015-12-25,576.0,142.0
2015-12-26,483.0,144.0
2015-12-27,429.0,155.0
2015-12-28,409.0,156.0
2015-12-29,429.0,155.0
2015-12-30,409.0,155.0
2015-12-31,409.0,155.0
2016-01-01,322.0,155.0
2016-01-02,300.0,155.0
2016-01-03,356.0,155.0
2016-01-04,421.0,155.0
2016-01-05,668.0,150.0
2016-01-06,1104.0,118.0
2016-01-07,1238.0,54.0
2016-01-08,758.0,83.0
2016-01-09,683.0,117.0
2016-01-10,629.0,128.0
2016-01-11,642.0,128.0
2016-01-12,632.0,128.0
2016-01-13,737.0,128.0
2016-01-14,738.0,128.0
2016-01-15,766.0,129.0
2016-01-16,585.0,131.0
2016-01-17,729.0,134.0
2016-01-18,885.0,116.0
2016-01-19,1621.0,86.0
2016-01-20,1741.0,58.0
2016-01-21,1217.0,68.0
2016-01-22,1016.0,89.0
2016-01-23,1328.0,69.0
2016-01-24,1152.0,55.0
2016-01-25,970.0,87.0
2016-01-26,888.0,109.0
2016-01-27,735.0,115.0
2016-01-28,791.0,118.0
2016-01-29,753.0,116.0
2016-01-30,1514.0,115.0
2016-01-31,3500.0,74.0
2016-02-01,2081.0,52.0
2016-02-02,1529.0,51.0
2016-02-03,1398.0,51.0
2016-02-04,1210.0,51.0
2016-02-05,1126.0,52.0
2016-02-06,1075.0,62.0
2016-02-07,1071.0,66.0
2016-02-08,988.0,71.0
2016-02-09,1044.0,70.0
2016-02-10,1077.0,71.0
2016-02-11,1111.0,73.0
2016-02-12,1090.0,76.0
2016-02-13,1030.0,79.0
2016-02-14,1091.0,82.0
2016-02-15,1071.0,83.0
2016-02-16,1103.0,82.0
2016-02-17,1187.0,82.0
2016-02-18,2005.0,77.0
2016-02-19,1464.0,72.0
2016-02-20,1282.0,81.0
2016-02-21,1192.0,87.0
2016-02-22,1201.0,89.0
2016-02-23,1157.0,97.0
2016-02-24,1194.0,100.0
2016-02-25,1128.0,101.0
2016-02-26,1196.0,107.0
2016-02-27,1370.0,100.0
2016-02-28,1401.0,97.0
2016-02-29,1339.0,100.0
2016-03-01,1405.0,100.0
2016-03-02,1486.0,100.0
2016-03-03,1461.0,99.0
2016-03-04,1508.0,94.0
2016-03-05,2147.0,90.0
2016-03-06,5962.0,57.0
2016-03-07,3132.0,54.0
2016-03-08,2261.0,53.0
2016-03-09,2040.0,53.0
2016-03-10,2056.0,53.0
2016-03-11,2399.0,53.0
2016-03-12,2307.0,51.0
2016-03-13,2144.0,51.0
2016-03-14,2091.0,51.0
2016-03-15,1911.0,57.0
2016-03-16,1797.0,64.0
2016-03-17,1832.0,73.0
2016-03-18,1914.0,78.0
2016-03-19,1994.0,81.0
2016-03-20,1958.0,84.0
2016-03-21,2017.0,71.0
2016-03-22,1895.0,70.0
2016-03-23,1705.0,114.0
2016-03-24,1614.0,154.0
2016-03-25,1676.0,157.0
2016-03-26,1842.0,158.0
2016-03-27,1964.0,166.0
2016-03-28,2059.0,200.0
2016-03-29,1915.0,260.0
2016-03-30,1656.0,407.0
2016-03-31,1473.0,468.0
2016-04-01,1515.0,651.0
2016-04-02,1663.0,652.0
2016-04-03,1954.0,652.0
2016-04-04,2284.0,667.0
2016-04-05,2569.0,708.0
2016-04-06,2931.0,712.0
2016-04-07,3180.0,715.0
2016-04-08,3206.0,670.0
2016-04-09,4363.0,613.0
2016-04-10,3340.0,597.0
2016-04-11,3016.0,534.0
2016-04-12,2859.0,513.0
2016-04-13,2976.0,525.0
2016-04-14,3172.0,548.0
2016-04-15,2927.0,563.0
2016-04-16,2684.0,615.0
2016-04-17,2801.0,641.0
2016-04-18,3206.0,661.0
2016-04-19,3699.0,665.0
2016-04-20,4103.0,709.0
2016-04-21,4091.0,793.0
2016-04-22,4419.0,842.0
2016-04-23,3833.0,837.0
2016-04-24,3242.0,829.0
2016-04-25,3055.0,793.0
2016-04-26,2632.0,794.0
2016-04-27,2533.0,892.0
2016-04-28,2550.0,1060.0
2016-04-29,2432.0,1155.0
2016-04-30,2572.0,1354.0
2016-05-01,2589.0,1470.0
2016-05-02,2248.0,1503.0
2016-05-03,2471.0,1521.0
2016-05-04,2978.0,1544.0
2016-05-05,3444.0,1530.0
2016-05-06,3021.0,1525.0
2016-05-07,2659.0,1521.0
2016-05-08,2515.0,1520.0
2016-05-09,2683.0,1523.0
2016-05-10,3912.0,1526.0
2016-05-11,4686.0,1555.0
2016-05-12,5626.0,1846.0
2016-05-13,6532.0,1871.0
2016-05-14,6853.0,2002.0
2016-05-15,6402.0,2022.0
2016-05-16,5928.0,2030.0
2016-05-17,5618.0,2120.0
2016-05-18,5080.0,2150.0
2016-05-19,5689.0,2220.0
