datetime,inflow_cfs,outflow_cfs
2015-10-01,2045.0,5701.0
2015-10-02,2063.0,5680.0
2015-10-03,884.0,5648.0
2015-10-04,1477.0,5222.0
2015-10-05,1620.0,5649.0
2015-10-06,1949.0,5732.0
2015-10-07,2313.0,6419.0
2015-10-08,2601.0,6374.0
2015-10-09,2827.0,5750.0
2015-10-10,4305.0,5635.0
2015-10-11,4049.0,5559.0
2015-10-12,2189.0,6084.0
2015-10-13,2267.0,5843.0
2015-10-14,2552.0,5619.0
2015-10-15,2503.0,4995.0
2015-10-16,2416.0,5560.0
2015-10-17,1307.0,5747.0
2015-10-18,1045.0,5165.0
2015-10-19,905.0,5503.0
2015-10-20,498.0,6131.0
2015-10-21,2296.0,4776.0
2015-10-22,2491.0,4020.0
2015-10-23,1986.0,4646.0
2015-10-24,2986.0,4441.0
2015-10-25,3184.0,4711.0
2015-10-26,2431.0,4218.0
2015-10-27,2587.0,4444.0
2015-10-28,3179.0,3627.0
2015-10-29,1823.0,4611.0
2015-10-30,3037.0,4774.0
2015-10-31,3349.0,4687.0
2015-11-01,2545.0,4248.0
2015-11-02,3057.0,4351.0
2015-11-03,1628.0,5011.0
2015-11-04,2170.0,4048.0
2015-11-05,2194.0,4740.0
2015-11-06,1695.0,4341.0
2015-11-07,2254.0,4456.0
2015-11-08,3080.0,4480.0
2015-11-09,3644.0,4508.0
2015-11-10,3840.0,4975.0
2015-11-11,3030.0,4165.0
2015-11-12,3151.0,4206.0
2015-11-13,3023.0,4281.0
2015-11-14,2515.0,4308.0
2015-11-15,4441.0,4018.0
2015-11-16,2921.0,3170.0
2015-11-17,2174.0,4073.0
2015-11-18,1862.0,3737.0
2015-11-19,1628.0,3900.0
2015-11-20,2365.0,3685.0
2015-11-21,3253.0,3481.0
2015-11-22,2984.0,3554.0
2015-11-23,494.0,3593.0
2015-11-24,2830.0,4062.0
2015-11-25,3007.0,4045.0
2015-11-26,1923.0,3492.0
2015-11-27,2637.0,3605.0
2015-11-28,2965.0,3796.0
2015-11-29,2129.0,3572.0
2015-11-30,2995.0,3771.0
2015-12-01,2159.0,4120.0
2015-12-02,2581.0,3597.0
2015-12-03,3283.0,4233.0
2015-12-04,2898.0,3150.0
2015-12-05,2336.0,2511.0
2015-12-06,4332.0,3604.0
2015-12-07,3106.0,3756.0
2015-12-08,3651.0,4236.0
2015-12-09,5545.0,3565.0
2015-12-10,7835.0,3349.0
2015-12-11,4567.0,3288.0
2015-12-12,5416.0,3219.0
2015-12-13,11859.0,3129.0
2015-12-14,5385.0,3404.0
2015-12-15,3119.0,3847.0
2015-12-16,4980.0,4295.0
2015-12-17,4024.0,4139.0
2015-12-18,4882.0,3327.0
2015-12-19,4104.0,3626.0
2015-12-20,5265.0,3497.0
2015-12-21,8076.0,2724.0
2015-12-22,9263.0,3411.0
2015-12-23,8130.0,3556.0
2015-12-24,7537.0,3346.0
2015-12-25,6129.0,3848.0
2015-12-26,5301.0,2388.0
2015-12-27,5840.0,2222.0
2015-12-28,4773.0,3235.0
2015-12-29,3463.0,2967.0
2015-12-30,2636.0,2958.0
2015-12-31,3072.0,2974.0
2016-01-01,3225.0,2851.0
2016-01-02,4124.0,2573.0
2016-01-03,4548.0,2570.0
2016-01-04,5303.0,2693.0
2016-01-05,8159.0,2020.0
2016-01-06,10133.0,2058.0
2016-01-07,8110.0,2175.0
2016-01-08,6280.0,2223.0
2016-01-09,6483.0,2199.0
2016-01-10,5764.0,2245.0
2016-01-11,5862.0,2621.0
2016-01-12,5684.0,2790.0
2016-01-13,12695.0,1760.0
